Reykjavík;114800;116446;117721;119848;118427;118908;118785;119632;121116;121814
Kópavogur;26468;27536;28561;29957;30314;30697;31139;31676;32303;33095
Seltjarnarnes;4461;4467;4428;4410;4406;4327;4304;4332;4376;4415
Garðabær;9423;9529;9913;10358;10587;10895;11270;11450;14137;14450
Hafnarfjörður;22451;23674;24839;25837;25872;26045;26434;26763;27325;27818
Sveitarfélagið Álftanes;2183;2278;2361;2510;2524;2479;2412;2417;-;-
Mosfellsbær;7157;7501;8147;8469;8527;8631;8822;8950;9084;9296
Kjalarneshreppur;-;-;-;-;-;-;-;-;-;-
Kjósarhreppur;162;181;191;196;195;204;219;204;219;216
Reykjanesbær;11346;11928;13256;14208;14081;13933;14156;14233;14524;14918
Grindavík;2624;2697;2760;2849;2841;2821;2827;2850;2889;2977
Sandgerði;1535;1663;1723;1750;1711;1677;1664;1579;1602;1586
Sveitarfélagið Garður;1376;1486;1451;1542;1520;1456;1484;1428;1412;1432
Sveitarfélagið Vogar;1018;1106;1225;1215;1195;1165;1130;1106;1128;1109
Akranes;5782;5955;6345;6630;6555;6600;6586;6636;6697;6753
Hvalfjarðarstrandarhreppur;147;-;-;-;-;-;-;-;-;-
Skilmannahreppur;214;-;-;-;-;-;-;-;-;-
Innri-Akraneshreppur;113;-;-;-;-;-;-;-;-;-
Leirár- og Melahreppur;129;-;-;-;-;-;-;-;-;-
Andakílshreppur;-;-;-;-;-;-;-;-;-;-
Skorradalshreppur;64;56;60;53;61;57;66;57;58;61
Lundarreykjadalshreppur;-;-;-;-;-;-;-;-;-;-
Reykholtsdalshreppur;-;-;-;-;-;-;-;-;-;-
Hálsahreppur;-;-;-;-;-;-;-;-;-;-
Borgarfjarðarsveit;732;-;-;-;-;-;-;-;-;-
Hvalfjarðarsveit;-;616;683;641;626;617;624;602;619;633
Hvítársíðuhreppur;83;-;-;-;-;-;-;-;-;-
Þverárhlíðarhreppur;-;-;-;-;-;-;-;-;-;-
Borgarhreppur;-;-;-;-;-;-;-;-;-;-
Álftaneshreppur;-;-;-;-;-;-;-;-;-;-
Borgarbyggð;2708;3713;3742;3747;3543;3484;3478;3482;3532;3542
Kolbeinsstaðahreppur;102;-;-;-;-;-;-;-;-;-
Grundarfjarðarbær;974;954;918;921;910;903;904;904;873;897
Helgafellssveit;55;58;58;59;64;61;57;58;54;53
Stykkishólmur;1165;1149;1103;1108;1090;1103;1111;1113;1099;1106
Skógarstrandarhreppur;-;-;-;-;-;-;-;-;-;-
Eyja- og Miklaholtshreppur;137;140;130;132;139;135;131;156;149;147
Snæfellsbær;1743;1702;1703;1717;1701;1724;1735;1716;1681;1680
Saurbæjarhreppur Dalasýslu;77;-;-;-;-;-;-;-;-;-
Dalabyggð;638;682;710;712;696;687;684;664;674;677
Bolungarvík;918;905;904;962;968;887;890;924;949;927
Ísafjarðarbær;4109;4098;3963;3968;3897;3816;3758;3744;3654;3623
Reykhólahreppur;255;251;266;279;292;278;270;279;274;269
Tálknafjarðarhreppur;297;292;290;302;297;304;279;293;297;306
Vesturbyggð;965;937;920;901;938;891;905;935;952;997
Súðavíkurhreppur;235;229;214;215;205;194;182;179;204;206
Árneshreppur;50;50;48;49;50;52;52;54;51;54
Kaldrananeshreppur;112;101;102;110;114;106;105;100;104;109
Hólmavíkurhreppur (fyrir 2002);-;-;-;-;-;-;-;-;-;-
Kirkjubólshreppur;-;-;-;-;-;-;-;-;-;-
Bæjarhreppur Strandasýslu;105;100;102;98;96;100;100;-;-;-
Broddaneshreppur;53;-;-;-;-;-;-;-;-;-
Hólmavíkurhreppur í Strandasýslu;447;-;-;-;-;-;-;-;-;-
Strandabyggð;-;507;500;490;506;501;515;517;505;473
Siglufjörður;1352;-;-;-;-;-;-;-;-;-
Sauðárkrókur;-;-;-;-;-;-;-;-;-;-
Sveitarfélagið Skagafjörður;4110;4078;4027;4077;4137;4100;4024;4007;3972;3908
Staðarhreppur (V-Húnavatnssýslu);-;-;-;-;-;-;-;-;-;-
Fremri-Torfustaðahreppur;-;-;-;-;-;-;-;-;-;-
Ytri-Torfustaðahreppur;-;-;-;-;-;-;-;-;-;-
Hvammstangahreppur;-;-;-;-;-;-;-;-;-;-
Kirkjuhvammshreppur;-;-;-;-;-;-;-;-;-;-
Þverárhreppur;-;-;-;-;-;-;-;-;-;-
Þorkelshólshreppur;-;-;-;-;-;-;-;-;-;-
Húnaþing vestra;1173;1167;1150;1142;1122;1120;1086;1174;1171;1169
Áshreppur;66;-;-;-;-;-;-;-;-;-
Sveinsstaðahreppur;92;-;-;-;-;-;-;-;-;-
Torfalækjarhreppur;92;-;-;-;-;-;-;-;-;-
Blönduósbær;903;892;895;908;879;900;880;873;888;859
Svínavatnshreppur;106;-;-;-;-;-;-;-;-;-
Bólstaðarhlíðarhreppur;115;-;-;-;-;-;-;-;-;-
Engihlíðarhreppur;-;-;-;-;-;-;-;-;-;-
Vindhælishreppur;-;-;-;-;-;-;-;-;-;-
Sveitarfélagið Skagaströnd;545;534;526;523;519;531;506;508;496;490
Skagahreppur;-;-;-;-;-;-;-;-;-;-
Skagabyggð;99;96;106;102;106;105;104;100;98;99
Húnavatnshreppur;-;463;451;426;433;419;413;404;411;416
Skefilsstaðahreppur;-;-;-;-;-;-;-;-;-;-
Skarðshreppur;-;-;-;-;-;-;-;-;-;-
Staðarhreppur (Skagafjarðarsýslu);-;-;-;-;-;-;-;-;-;-
Seyluhreppur;-;-;-;-;-;-;-;-;-;-
Lýtingsstaðahreppur;-;-;-;-;-;-;-;-;-;-
Akrahreppur;225;222;204;217;208;205;197;195;208;195
Rípurhreppur;-;-;-;-;-;-;-;-;-;-
Viðvíkurhreppur;-;-;-;-;-;-;-;-;-;-
Hólahreppur;-;-;-;-;-;-;-;-;-;-
Hofshreppur (Skagafjarðarsýslu);-;-;-;-;-;-;-;-;-;-
Fljótahreppur;-;-;-;-;-;-;-;-;-;-
Akureyri;16736;16822;17253;17522;17563;17728;17869;17956;18073;18195
Norðurþing;2373;3023;2970;2998;2929;2917;2880;2863;2826;2806
Ólafsfjarðarbær;946;-;-;-;-;-;-;-;-;-
Fjallabyggð;-;2261;2188;2129;2082;2037;2050;2013;2016;2041
Dalvík;-;-;-;-;-;-;-;-;-;-
Dalvíkurbyggð;1927;1966;1951;1942;1951;1958;1914;1859;1862;1857
Grímseyjarhreppur;102;99;103;92;-;-;-;-;-;-
Svarfaðardalshreppur;-;-;-;-;-;-;-;-;-;-
Hríseyjarhreppur;-;-;-;-;-;-;-;-;-;-
Árskógshreppur;-;-;-;-;-;-;-;-;-;-
Arnarneshreppur;174;176;171;178;177;-;-;-;-;-
Skriðuhreppur;-;-;-;-;-;-;-;-;-;-
Öxnadalshreppur;-;-;-;-;-;-;-;-;-;-
Glæsibæjarhreppur;-;-;-;-;-;-;-;-;-;-
Eyjafjarðarsveit;978;998;1009;1040;1030;1029;1034;1017;1024;1035
Hörgárbyggð;399;411;416;415;429;-;-;-;-;-
Hörgársveit;-;-;-;-;-;599;583;566;567;568
Svalbarðsstrandarhreppur;382;381;385;396;414;398;392;415;395;413
Grýtubakkahreppur;366;368;357;338;337;334;351;358;356;368
Hálshreppur;-;-;-;-;-;-;-;-;-;-
Ljósavatnshreppur;-;-;-;-;-;-;-;-;-;-
Bárðdælahreppur;-;-;-;-;-;-;-;-;-;-
Skútustaðahreppur;428;410;403;388;374;389;386;380;371;399
Reykdælahreppur;-;-;-;-;-;-;-;-;-;-
Aðaldælahreppur;256;257;261;-;-;-;-;-;-;-
Reykjahreppur;-;-;-;-;-;-;-;-;-;-
Tjörneshreppur;63;60;60;58;56;60;55;55;55;59
Þingeyjarsveit;686;699;681;945;941;946;912;918;917;921
Kelduneshreppur;100;-;-;-;-;-;-;-;-;-
Öxarfjarðarhreppur;330;-;-;-;-;-;-;-;-;-
Raufarhafnarhreppur;228;-;-;-;-;-;-;-;-;-
Svalbarðshreppur;109;106;110;108;107;106;102;102;90;98
Þórshafnarhreppur;417;-;-;-;-;-;-;-;-;-
Langanesbyggð;-;518;479;511;519;505;513;524;528;514
Seyðisfjörður;731;726;716;717;706;669;676;676;671;653
Neskaupstaður;-;-;-;-;-;-;-;-;-;-
Eskifjörður;-;-;-;-;-;-;-;-;-;-
Fjarðabyggð;3895;5705;5111;4736;4637;4573;4601;4621;4669;4747
Skeggjastaðahreppur;125;-;-;-;-;-;-;-;-;-
Vopnafjarðarhreppur;725;712;701;674;682;670;675;687;697;675
Hlíðarhreppur;-;-;-;-;-;-;-;-;-;-
Jökuldalshreppur;-;-;-;-;-;-;-;-;-;-
Fljótsdalshreppur;355;524;366;143;89;79;79;80;70;75
Fellahreppur;-;-;-;-;-;-;-;-;-;-
Tunguhreppur;-;-;-;-;-;-;-;-;-;-
Hjaltastaðarhreppur;-;-;-;-;-;-;-;-;-;-
Borgarfjarðarhreppur;146;146;146;142;135;140;131;131;135;136
Norður-Hérað;-;-;-;-;-;-;-;-;-;-
Skriðdalshreppur;-;-;-;-;-;-;-;-;-;-
Vallahreppur;-;-;-;-;-;-;-;-;-;-
Egilsstaðir;-;-;-;-;-;-;-;-;-;-
Eiðahreppur;-;-;-;-;-;-;-;-;-;-
Mjóafjarðarhreppur;42;-;-;-;-;-;-;-;-;-
Reyðarfjarðarhreppur;-;-;-;-;-;-;-;-;-;-
Fáskrúðsfjarðarhreppur;48;-;-;-;-;-;-;-;-;-
Búðahreppur;-;-;-;-;-;-;-;-;-;-
Stöðvarhreppur;-;-;-;-;-;-;-;-;-;-
Breiðdalshreppur;232;244;218;197;209;205;189;180;187;188
Djúpavogshreppur;458;463;450;456;439;448;463;453;471;427
Austur-Hérað;-;-;-;-;-;-;-;-;-;-
Austurbyggð;859;-;-;-;-;-;-;-;-;-
Fljótsdalshérað;3905;4644;4073;3707;3465;3406;3404;3438;3476;3457
Bæjarhreppur A-Skaftafellssýslu;-;-;-;-;-;-;-;-;-;-
Borgarhafnarhreppur;-;-;-;-;-;-;-;-;-;-
Hofshreppur (A-Skaftafellssýslu);-;-;-;-;-;-;-;-;-;-
Hornarfjarðarbær;-;-;-;-;-;-;-;-;-;-
Sveitarfélagið Hornafjörður;2189;2186;2120;2110;2089;2116;2141;2167;2169;2149
Vestmannaeyjar;4175;4075;4040;4090;4129;4133;4193;4219;4246;4274
Selfoss;-;-;-;-;-;-;-;-;-;-
Sveitarfélagið Árborg;6961;7280;7565;7928;7810;7818;7776;7833;7888;8035
Mýrdalshreppur;503;496;488;487;511;474;457;459;491;483
Skaftárhreppur;490;485;466;467;450;447;442;445;453;459
Austur-Eyjafjallahreppur;-;-;-;-;-;-;-;-;-;-
Vestur-Eyjafjallahreppur;-;-;-;-;-;-;-;-;-;-
Austur-Landeyjahreppur;-;-;-;-;-;-;-;-;-;-
Vestur-Landeyjahreppur;-;-;-;-;-;-;-;-;-;-
Fljótshlíðarhreppur;-;-;-;-;-;-;-;-;-;-
Hvolhreppur;-;-;-;-;-;-;-;-;-;-
Rangárvallahreppur;-;-;-;-;-;-;-;-;-;-
Ásahreppur;164;158;171;182;190;194;204;192;195;216
Djúpárhreppur;-;-;-;-;-;-;-;-;-;-
Holta- og Landsveit;-;-;-;-;-;-;-;-;-;-
Rangárþing eystra;1672;1694;1741;1762;1744;1753;1744;1742;1703;1747
Rangárþing ytra;1459;1526;1547;1610;1545;1530;1504;1520;1563;1545
Gaulverjabæjarhreppur;141;-;-;-;-;-;-;-;-;-
Stokkseyrarhreppur;-;-;-;-;-;-;-;-;-;-
Eyrarbakkahreppur;-;-;-;-;-;-;-;-;-;-
Sandvíkurhreppur;-;-;-;-;-;-;-;-;-;-
Hraungerðishreppur;200;-;-;-;-;-;-;-;-;-
Villingaholtshreppur;185;-;-;-;-;-;-;-;-;-
Skeiðahreppur;-;-;-;-;-;-;-;-;-;-
Gnúpverjahreppur;-;-;-;-;-;-;-;-;-;-
Hrunamannahreppur;767;786;794;794;789;793;771;781;784;786
Biskupstungnahreppur;-;-;-;-;-;-;-;-;-;-
Laugardalshreppur;-;-;-;-;-;-;-;-;-;-
Grímsneshreppur;-;-;-;-;-;-;-;-;-;-
Þingvallahreppur;-;-;-;-;-;-;-;-;-;-
Grafningshreppur;-;-;-;-;-;-;-;-;-;-
Hveragerði;2089;2189;2274;2316;2302;2317;2275;2283;2312;2383
Sveitarfélagið Ölfus;1799;1854;1930;2002;1945;1909;1922;1902;1901;1894
Grímsnes- og Grafningshreppur;356;375;379;444;415;401;420;423;416;434
Skeiða- og Gnúpverjahreppur;521;527;535;516;519;504;508;500;528;514
Bláskógabyggð;921;921;972;986;937;942;907;892;931;967
Flóahreppur;-;551;576;592;595;591;601;641;628;617
